id,name,info,type,pingfen,people
1,肖申克的救赎,导演: 弗兰克·德拉邦特 Frank Darabont主演: 蒂姆·罗宾斯 Tim Robbins /...,1994/美国/犯罪 剧情,9.7,2998927
2,霸王别姬,导演: 陈凯歌 Kaige Chen主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,1993/中国大陆 中国香港/剧情 爱情 同性,9.6,2215850
3,阿甘正传,导演: 罗伯特·泽米吉斯 Robert Zemeckis主演: 汤姆·汉克斯 Tom Hanks / ...,1994/美国/剧情 爱情,9.5,2234593
4,泰坦尼克号,导演: 詹姆斯·卡梅隆 James Cameron主演: 莱昂纳多·迪卡普里奥 Leonardo...,1997/美国 墨西哥/剧情 爱情 灾难,9.5,2272200
5,千与千寻,导演: 宫崎骏 Hayao Miyazaki主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...,2001/日本/剧情 动画 奇幻,9.4,2317641
6,这个杀手不太冷,导演: 吕克·贝松 Luc Besson主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,1994/法国 美国/剧情 动作 犯罪,9.4,2364971
7,美丽人生,导演: 罗伯托·贝尼尼 Roberto Benigni主演: 罗伯托·贝尼尼 Roberto Beni...,1997/意大利/剧情 喜剧 爱情 战争,9.5,1368419
8,星际穿越,导演: 克里斯托弗·诺兰 Christopher Nolan主演: 马修·麦康纳 Matthew Mc...,2014/美国 英国 加拿大/剧情 科幻 冒险,9.4,1932503
9,盗梦空间,导演: 克里斯托弗·诺兰 Christopher Nolan主演: 莱昂纳多·迪卡普里奥 Le...,2010/美国 英国/剧情 科幻 悬疑 冒险,9.4,2137976
10,辛德勒的名单,导演: 史蒂文·斯皮尔伯格 Steven Spielberg主演: 连姆·尼森 Liam Neeson...,1993/美国/剧情 历史 战争,9.5,1156193
11,楚门的世界,导演: 彼得·威尔 Peter Weir主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,1998/美国/剧情 科幻,9.4,1789989
12,忠犬八公的故事,导演: 莱塞·霍尔斯道姆 Lasse Hallström主演: 理查·基尔 Richard Ger...,2009/美国 英国/剧情,9.4,1436713
13,海上钢琴师,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore主演: 蒂姆·罗斯 Tim Roth / ...,1998/意大利/剧情 音乐,9.3,1729816
14,三傻大闹宝莱坞,导演: 拉库马·希拉尼 Rajkumar Hirani主演: 阿米尔·汗 Aamir Khan / 卡...,2009/印度/剧情 喜剧 爱情 歌舞,9.2,1917878
15,放牛班的春天,导演: 克里斯托夫·巴拉蒂 Christophe Barratier主演: 让-巴蒂斯特·莫尼...,2004/法国 瑞士 德国/剧情 音乐,9.3,1357129
16,机器人总动员,导演: 安德鲁·斯坦顿 Andrew Stanton主演: 本·贝尔特 Ben Burtt / 艾丽...,2008/美国/科幻 动画 冒险,9.3,1361079
17,疯狂动物城,导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore主演: 金妮弗·...,2016/美国/喜剧 动画 冒险,9.2,2025294
18,无间道,导演: 刘伟强 / 麦兆辉主演: 刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W...,2002/中国香港/剧情 犯罪 惊悚,9.3,1418782
19,控方证人,导演: 比利·怀尔德 Billy Wilder主演: 泰隆·鲍华 Tyrone Power / 玛琳·...,1957/美国/剧情 犯罪 悬疑,9.6,602130
20,大话西游之大圣娶亲,导演: 刘镇伟 Jeffrey Lau主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995/中国香港 中国大陆/喜剧 爱情 奇幻 古装,9.2,1581633
21,熔炉,导演: 黄东赫 Dong-hyuk Hwang主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,2011/韩国/剧情,9.4,961670
22,教父,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola主演: 马龙·白兰度 M...,1972/美国/剧情 犯罪,9.3,1004986
23,触不可及,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano主...,2011/法国/剧情 喜剧,9.3,1165449
24,当幸福来敲门,导演: 加布里尔·穆奇诺 Gabriele Muccino主演: 威尔·史密斯 Will Smith ...,2006/美国/剧情 传记 家庭,9.2,1567115
25,寻梦环游记,导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina主演: ...,2017/美国/喜剧 动画 奇幻 音乐,9.1,1758153
1,末代皇帝,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci主演: 尊龙 John Lone / 陈...,1987/英国 意大利 中国大陆 法国/剧情 传记 历史,9.3,925477
2,龙猫,导演: 宫崎骏 Hayao Miyazaki主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...,1988/日本/动画 奇幻 冒险,9.2,1305910
3,怦然心动,导演: 罗伯·莱纳 Rob Reiner主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...,2010/美国/剧情 喜剧 爱情,9.1,1892924
4,活着,导演: 张艺谋 Yimou Zhang主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,1994/中国大陆 中国香港/剧情 历史 家庭,9.3,881610
5,哈利·波特与魔法石,导演: Chris Columbus主演: Daniel Radcliffe / Emma Watson / Rupert Grint,2001/美国 英国/奇幻 冒险,9.2,1247944
6,蝙蝠侠：黑暗骑士,导演: 克里斯托弗·诺兰 Christopher Nolan主演: 克里斯蒂安·贝尔 Christ...,2008/美国 英国/剧情 动作 科幻 犯罪 惊悚,9.2,1099726
7,指环王3：王者无敌,导演: 彼得·杰克逊 Peter Jackson主演: 伊利亚·伍德 Elijah Wood / 西恩...,2003/美国 新西兰/剧情 动作 奇幻 冒险,9.3,833482
8,我不是药神,导演: 文牧野 Muye Wen主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,2018/中国大陆/剧情 喜剧,9.0,2175699
9,乱世佳人,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor主演: 费...,1939/美国/剧情 历史 爱情 战争,9.3,716642
10,飞屋环游记,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson主演: 爱德...,2009/美国/剧情 喜剧 动画 冒险,9.1,1374222
11,素媛,导演: 李濬益 Jun-ik Lee主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,2013/韩国/剧情,9.3,712443
12,十二怒汉,导演: Sidney Lumet主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,1957/美国/剧情,9.4,514338
13,哈尔的移动城堡,导演: 宫崎骏 Hayao Miyazaki主演: 倍赏千惠子 Chieko Baishô / 木村拓...,2004/日本/爱情 动画 奇幻 冒险,9.1,1067526
14,让子弹飞,导演: 姜文 Wen Jiang主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,2010/中国大陆 中国香港/剧情 喜剧 动作 西部,9.0,1760700
15,何以为家,导演: 娜丁·拉巴基 Nadine Labaki主演: 扎因·拉费阿 Zain al-Rafeea / ...,2018/黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国/剧情,9.1,1080139
16,摔跤吧！爸爸,导演: 涅提·蒂瓦里 Nitesh Tiwari主演: 阿米尔·汗 Aamir Khan / 法缇玛...,2016/印度/剧情 传记 运动 家庭,9.0,1617700
17,猫鼠游戏,导演: 史蒂文·斯皮尔伯格 Steven Spielberg主演: 莱昂纳多·迪卡普里奥 L...,2002/美国 加拿大/传记 犯罪 剧情,9.1,1076567
18,天空之城,导演: 宫崎骏 Hayao Miyazaki主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...,1986/日本/动画 奇幻 冒险,9.2,912479
19,鬼子来了,导演: 姜文 Wen Jiang主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,2000/中国大陆/剧情 喜剧,9.3,650676
20,海蒂和爷爷,导演: 阿兰·葛斯彭纳 Alain Gsponer主演: 阿努克·斯特芬 Anuk Steffen /...,2015/德国 瑞士/剧情 冒险 家庭,9.3,659262
21,少年派的奇幻漂流,导演: 李安 Ang Lee主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,2012/美国 中国台湾 英国 加拿大/剧情 奇幻 冒险,9.1,1389314
22,钢琴家,导演: 罗曼·波兰斯基 Roman Polanski主演: 艾德里安·布洛迪 Adrien Brod...,2002/英国 法国 波兰 德国/剧情 传记 战争 音乐,9.3,670987
23,大话西游之月光宝盒,导演: 刘镇伟 Jeffrey Lau主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995/中国香港 中国大陆/喜剧 爱情 奇幻 古装,9.0,1259736
24,指环王2：双塔奇兵,导演: 彼得·杰克逊 Peter Jackson主演: 伊利亚·伍德 Elijah Wood / 西恩...,2002/美国 新西兰/剧情 动作 奇幻 冒险,9.2,782428
25,闻香识女人,导演: 马丁·布莱斯 Martin Brest主演: 阿尔·帕西诺 Al Pacino / 克里斯...,1992/美国/剧情,9.1,924279
1,死亡诗社,导演: 彼得·威尔 Peter Weir主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...,1989/美国/剧情,9.2,763609
2,绿皮书,导演: 彼得·法雷里 Peter Farrelly主演: 维果·莫腾森 Viggo Mortensen /...,2018/美国 中国大陆/剧情 喜剧 传记 音乐,8.9,1715643
3,罗马假日,导演: 威廉·惠勒 William Wyler主演: 奥黛丽·赫本 Audrey Hepburn / 格...,1953/美国/喜剧 剧情 爱情,9.1,977649
4,大闹天宫,导演: 万籁鸣 Laiming Wan主演: 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆)/中国大陆/剧情 动画 奇幻 古装,9.4,457765
5,天堂电影院,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore主演: 菲利普·努瓦雷 Philipp...,1988/意大利 法国/剧情 爱情,9.2,696487
6,黑客帝国,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski主...,1999/美国/动作 科幻,9.1,866670
7,指环王1：护戒使者,导演: 彼得·杰克逊 Peter Jackson主演: 伊利亚·伍德 Elijah Wood / 西恩...,2001/新西兰 美国/剧情 动作 奇幻 冒险,9.1,878563
8,教父2,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola主演: 阿尔·帕西诺 A...,1974/美国/剧情 犯罪,9.3,575697
9,狮子王,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff主演: 乔纳森·泰勒·托马...,1994/美国/动画 冒险 歌舞,9.1,877379
10,辩护人,导演: 杨宇硕 Woo-seok Yang主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,2013/韩国/剧情,9.2,609411
11,饮食男女,导演: 李安 Ang Lee主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,1994/中国台湾 美国/剧情 家庭,9.2,646618
12,搏击俱乐部,导演: 大卫·芬奇 David Fincher主演: 爱德华·诺顿 Edward Norton / 布拉...,1999/美国/剧情 动作 悬疑 惊悚,9.0,877742
13,本杰明·巴顿奇事,导演: 大卫·芬奇 David Fincher主演: 凯特·布兰切特 Cate Blanchett / ...,2008/美国/剧情 爱情 奇幻,9.0,1018274
14,美丽心灵,导演: 朗·霍华德 Ron Howard主演: 罗素·克劳 Russell Crowe / 艾德·哈...,2001/美国/传记 剧情,9.1,794165
15,穿条纹睡衣的男孩,导演: 马克·赫尔曼 Mark Herman主演: 阿萨·巴特菲尔德 Asa Butterfield ...,2008/英国 美国/剧情 战争,9.2,588481
16,窃听风暴,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck&n...,2006/德国/剧情 悬疑,9.2,583867
17,情书,导演: 岩井俊二 Shunji Iwai主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...,1995/日本/剧情 爱情,8.9,1163218
18,两杆大烟枪,导演: 盖·里奇 Guy Ritchie主演: 杰森·弗莱明 Jason Flemyng / 德克斯特...,1998/英国/剧情 喜剧 犯罪,9.1,616296
19,西西里的美丽传说,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore主演: 莫妮卡·贝鲁奇 Monica ...,2000/意大利 美国/剧情 战争 情色,8.9,1009207
20,音乐之声,导演: 罗伯特·怀斯 Robert Wise主演: 朱莉·安德鲁斯 Julie Andrews / 克...,1965/美国/剧情 传记 爱情 歌舞,9.1,625298
21,看不见的客人,导演: 奥里奥尔·保罗 Oriol Paulo主演: 马里奥·卡萨斯 Mario Casas / 阿...,2016/西班牙/剧情 犯罪 悬疑 惊悚,8.8,1320665
22,哈利·波特与死亡圣器(下),导演: 大卫·叶茨 David Yates主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,2011/美国 英国/奇幻 冒险,9.0,867445
23,阿凡达,导演: 詹姆斯·卡梅隆 James Cameron主演: 萨姆·沃辛顿 Sam Worthington ...,2009/美国/动作 科幻 冒险,8.8,1466601
24,拯救大兵瑞恩,导演: 史蒂文·斯皮尔伯格 Steven Spielberg主演: 汤姆·汉克斯 Tom Hanks...,1998/美国/剧情 战争,9.1,669123
25,飞越疯人院,导演: 米洛斯·福尔曼 Miloš Forman主演: 杰克·尼科尔森 Jack Nichols...,1975/美国/剧情,9.1,563681
